acct_id,category,attrib_name,attrib_value
100103,LA Group H: Education Demographics,Input Ind - Education,Graduate School
100103,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
100103,LA Group B: Household Demographics,HH Marital Status,Married
100103,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,36
100378,LA Group B: Household Demographics,HH Marital Status,Married
100378,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
100378,LA Group H: Education Demographics,Input Ind - Education,Graduate School
100378,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,82
100521,LA Group H: Education Demographics,Input Ind - Education,Graduate School
100521,LA Group B: Household Demographics,HH Marital Status,Single
100521,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
100521,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
100653,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,78
100653,LA Group B: Household Demographics,HH Marital Status,Married
100653,LA Group H: Education Demographics,Input Ind - Education,College
100653,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
100851,LA Group H: Education Demographics,Input Ind - Education,Graduate School
100851,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
100851,LA Group B: Household Demographics,HH Marital Status,Single
100851,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,92
100928,LA Group B: Household Demographics,HH Marital Status,Married
100928,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
100928,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
101126,LA Group H: Education Demographics,Input Ind - Education,College
101126,LA Group B: Household Demographics,HH Marital Status,Married
101126,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
101126,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,74
101742,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
101742,LA Group H: Education Demographics,Input Ind - Education,College
101742,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
101742,LA Group B: Household Demographics,HH Marital Status,Married
101984,LA Group B: Household Demographics,HH Marital Status,Married
101984,LA Group H: Education Demographics,Input Ind - Education,College
101984,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,66
101984,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
102050,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,68
102050,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
102050,LA Group H: Education Demographics,Input Ind - Education,High School
102050,LA Group B: Household Demographics,HH Marital Status,Married
102622,LA Group B: Household Demographics,HH Marital Status,Married
102622,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,86
102622,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
102622,LA Group H: Education Demographics,Input Ind - Education,Graduate School
102655,LA Group B: Household Demographics,HH Marital Status,Married
102655,LA Group A: Gender/Age Demographics,1st Ind - Gender,Male
102655,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,80
102655,LA Group H: Education Demographics,Input Ind - Education,Graduate School
102776,LA Group A: Gender/Age Demographics,1st Ind - Gender,Female
102776,LA Group A: Gender/Age Demographics,1st Ind - Age 2 yr Inc,76
102776,LA Group H: Education Demographics,Input Ind - Education,College
102776,LA Group B: Household Demographics,HH Marital Status,Married
